name,SMILES,reason
"1,4-dioxaspiro[4.5]decane, 8-methyl-6-[[tetrahydro-2H-pyran-2-yl)oxy]methyl]-",,No SMILES
"1,2-dibenzoylethylene (cis and trans)",,No SMILES
"2,7-pentamethylene-4,5-benzotropone",,No SMILES
"2,7-pentamethylene-4,5-benzotropone",,No SMILES
"1,1-(4',4''-dihydroxy-5',5''-dimethyl)diphenylethane",,No SMILES
"4,5-dimethyl-2-phenyl-1-vinyl-.DELTA.4-tetrahydrobenzene",,No SMILES
"2,9-dimethyl-1,2,3,4,4,9,10,10a-octahydrophenanthrene",,No SMILES
"2,9-dimethyl-1,2,3,4,4,9,10,10a-octahydrophenanthrene",,No SMILES
"1,4-bis(1,1-dimethylethyl)-1.3.5.7-cyclooctatetraene[cis]",,No SMILES
"1,6-bis(1,1-dimethylethyl)-1,3,5,7-cyclooctacatetraene[trans]",,No SMILES
"2,2,8,8-tetramethyl-1,3,7,9-tetraoxycyclododecane",,No SMILES
2-cyclohexylbicyclo[4.4.0]-5-dodecene,,No SMILES
"alpha,alpha-dimethyl-4-[1-(tert-butperoxy)-1-methylethyl]benzenemethanol",,No SMILES
"(-)-(3,7-dimethyl)1,6-octadienyl)cyclohexane",,No SMILES
[2.2]perhydroparacyclophane,,No SMILES
"2-butyl-1,1'-bicyclohexyl (high boiling isomer)",,No SMILES
"2-butyl-1,1'-bicyclohexyl (low boiling isomer)",,No SMILES
"1,4-anhydro-2-o-decyl-3,5-o-methylene-xylitol",,No SMILES
benzophenonediacetate,,No SMILES
erythro-4-benzyl-3-methyl-4-phenyloxetan-2-one,,No SMILES
threo-4-benzyl-3-methyl-4-phenyloxetan-2-one,,No SMILES
erythro-4-benzyl-3-methyl-4-phenyloxetan-2-one,,No SMILES
"spiro[7-ethyl-1,2,3,4-tetrahydronaphthalene-2,1'-cyclohexane]",,No SMILES
1-(3-butyl-3-hepten-1-yne)cyclohexene,,No SMILES
L(+)-3-methylhexadecane,,No SMILES
"benzo[1,2-b;3,4-b']bisbenzofuran",,No SMILES
"Benzene, 1,1'-[1,2-ethanediylbis(oxy)]bis*4-ethynyl-",,No SMILES
"2,2-dimethyl-3,4-diphenyl-3-hydroxypropanoic acid",,No SMILES
"1-cyclohexyl-1,3,3-trimethylhydrindan",,No SMILES
"1-cyclohexyl-1,3,3-trimethylhydrindan",,No SMILES
"[2R*,3S*(R*)]-2-methyl-3-[[1-(2-methylpropyl)nonyl]oxy]-1-butanol",,No SMILES
"1,2-cyclopentano-1-ethyl-1,2,3,4-tetrahydropheanthrene",,No SMILES
"1,2-cyclopentano-1-ethyl-1,2,3,4-tetrahydropheanthrene",,No SMILES
"2,2,7-triethyl-4,5-cyclohexanoindane",,No SMILES
"octadecanoic acid, 9,10-methylene, DL-cis-",,No SMILES
"1',2',3',4'-tetrahydro-1,2-benzpyrene",,No SMILES
"Benzene, 1,1'-[1,4-butanediylbis(oxy)]bis*4-ethynyl-",,No SMILES
"1-[(2,2-dimethylbicyclo[2.2.1]heptyliden-3-yl)methyl]naphthalene",,No SMILES
"2,4-pentanedione, 3-(diphenylmethyl)-3-ethyl",,No SMILES
"undecacyclo[9.9.0.02,9.03,7.04,20.05,18.06,16.08,15.010,14.012.19.013,17]dodecane",,No SMILES
8-(4-biphenyl)-1-octene,,No SMILES
6-[4-(4'-ethylbiphenyl)]-1-hexene,,No SMILES
"1,1'-dimethyl-4,4'-dipropyl-2,2'-bi[bicyclo[2.2.0]-2-cyclohexenyl]",,No SMILES
(4-methyl-1-(3-methylbutyl)-1-propyl)pentyl)cyclohexane,,No SMILES
"1',2-dihydro-4'-methyl-1,2-benzpyrene",,No SMILES
"1-butyl-1,2-cyclopentano-1,2,3,4-tetrahydrophenanthrene",,No SMILES
2-(biphen-3-yl)naphthalene,,No SMILES
2-(biphen-4-yl)naphthalene,,No SMILES
"1,2,3,4,9,10,11,2-octahydropicene",,No SMILES
6-[4-(4'-butylbiphenyl)]-1-hexene,,No SMILES
8[4-(4'-ethylbiphenyl)]-1-octene,,No SMILES
8[4-(4'-ethylbiphenyl)]-1-octene,,No SMILES
"benzene, 1,1',1''-(3-methyl-2-butene-1,2,4-triyl)tris-, (E)-",,No SMILES
"carbon, tetraatomic",,No SMILES
"butane, 2,3-dihydroxy-, isomer not specified",,No SMILES
"butane, 2,3-dihydroxy-, isomer not specified",,No SMILES
glycerine carbonate,,No SMILES
oxalic acid 2-hydroxyethane ester,,No SMILES
oxalic acid 2-hydroxyethyl ester,,No SMILES
methyl (E)-propenyl ether,,No SMILES
methyl (Z)-propenyl ether,,No SMILES
"ethanoic acid, dimeric",,No SMILES
(+-)-tetrahydro-2-furanmethanol,,No SMILES
(1-methoxyethyl)oxirane,,No SMILES
(E)-methoxy(1-propenoxy)methane,,No SMILES
.alpha.-.alpha.'-dimethyltrimethylene oxide,,No SMILES
"2,3-dimethoxypropene",,No SMILES
(+-)-tetrahydro-2-furanmethanol,,No SMILES
(2R)-3-hydroxy-2-methyl-propanoic acid methyl ester,,No SMILES
(2S)-3-hydroxy-2-methyl-propanoic acid methyl ester,,No SMILES
"cis-1-methoxy-1,3-dioxane",,No SMILES
propyl hydroxyethanoate,,No SMILES
"trans-1-methoxy-1,3-dioxane",,No SMILES
"2,3-dimethoxypropene",,No SMILES
(2S)-3-hydroxy-2-methyl-propanoic acid methyl ester,,No SMILES
(2RS)-methylbutyl radical,,No SMILES
1-ethylpropyl radical,,No SMILES
1-methylbutyl radical,,No SMILES
3-methylbutyl radical,,No SMILES
"propyl, 1,1-dimethyl-",,No SMILES
"propyl, 1,2-dimethyl-",,No SMILES
1-ethylpropyl radical,,No SMILES
2-methylenyltetrahydrofuran,,No SMILES
oxalic acid bis(2-hydroxyethyl) diester,,No SMILES
"2-hexene, (cis+trans)",,No SMILES
"2-hydroxy-1,2,3-propanetricarboxylic acid monohydrate",,No SMILES
"2-hydroxy-1,2,3-propanetricarboxylic acid monohydrate",,No SMILES
"1,3-dioxane, 2,4-dimethyl- (cis,trans unspecified)",,No SMILES
"(E)-3,3-dimethyl-1-buten-1-ol",,No SMILES
(E)-dimethoxy(1-propenoxy)methane,,No SMILES
(Z)-dimethoxy(1-propenoxy)methane,,No SMILES
cis-2-hydroxy-6-hydroxymethyltetrahydropyran,,No SMILES
"Butane, 2,3-epoxy-1,4-dimethoxy-, erythro-",,No SMILES
".alpha.,.gamma.-acontitic anhydride",,No SMILES
".alpha.-D-glucose, monohydrate",,No SMILES
".beta.,.gamma.-anhydroaconitic acid",,No SMILES
".beta.,.gamma.-anhydroaconitic acid",,No SMILES
".alpha.,.gamma.-acontitic anhydride",,No SMILES
".alpha.-D-glucose, monohydrate",,No SMILES
"(S)-(+)-5,6-dihydro-6-methyl-2H-pryan-2-one",,No SMILES
1-methyl-2-propynyl ethanoate,,No SMILES
2-butenedioic acid ethyl ester,,No SMILES
"bicyclo[1.1.0]butane-1-carboxylic acid, methyl ester",,No SMILES
"2-hexen-4-yne, 3-methyl-, (E)-",,No SMILES
"D-saccharic acid 1,4-lactone monohydrate",,No SMILES
"1,1-dimethylpent-4-en-2-yn-1-ol",,No SMILES
"propenoic acid, dimer",,No SMILES
"1,2-dimethylenecyclopentane",,No SMILES
2-hepten-6-yn-4-ol,,No SMILES
5-methoxy-1-hexene-3-yne,,No SMILES
"1-cyclopenteneformic acid, methyl ester",,No SMILES
"2-cyclopenteneformic acid, methyl ester",,No SMILES
"1,2-dimethylenecyclopentane",,No SMILES
"1-cyclopenteneformic acid, methyl ester",,No SMILES
2-hydroxy-3-ethoxycarbonyl-2-penten-4-one,,No SMILES
Butanedioic acid ethenyl methyl ester,,No SMILES
1-(2-tetrahydrofuryl)-1-methylethylidene,,No SMILES
(E)-1-dimethoxy-1-(1-propenoxy)ethane,,No SMILES
(Z)-1-dimethoxy-1-(1-propenoxy)ethane,,No SMILES
2-propxyethyl ethanoate,,No SMILES
"(-)-2,3-dimethyl-2-pentanol",,No SMILES
alpha-L-methylglucofuranoside,,No SMILES
"4,4-dimethyl-1,2,3-pentanetriol",,No SMILES
dipropyleneglycol methyl ether,,No SMILES
3-tolyl radical,,No SMILES
4-methylphenyl radical,,No SMILES
(Z)-1-(2-tetrahydrofuryl)-2-methylpropylidene,,No SMILES
(E)-1-(2-tetrahydrofuryl)-2-methylpropylidene,,No SMILES
"1-butene, 3-methyl-1-(1-propenyloxy)-, (E,E)-",,No SMILES
"1-pentene, 2-(ethenyloxy)-4-methyl-",,No SMILES
2-(2-methylpropyl)-(4H)furan,,No SMILES
"(E)-2,5-dimethoxy-1,4-hexadiene",,No SMILES
"(E,E)-1,1-bis(1-propenoxy)ethane",,No SMILES
"1-butene, 3-methyl-1-(1-propenyloxy)-, (E,E)-",,No SMILES
"(Z,Z)-1,1-bis(1-propenoxy)ethane",,No SMILES
2-acetoxy-2-methy-4-pentanone,,No SMILES
"1,3-butanedioldiethanoate",,No SMILES
"1,2-ethanedioldipropanoate",,No SMILES
"D(+)-2,3-diacetoxybutane",,No SMILES
"alpha, beta-Glucooctanoic gamma-lactone",,No SMILES
"1,4-anhydro-2-o-ethyl-3,5-o-methylene-xylitol",,No SMILES
"1,3-dioxane, 2,2-cis-4,6-tetramethyl-",,No SMILES
"1,3-dioxane, 2,4,5,6-tetramethyl-, (2.alpha.,4.alpha.,5.alpha.,6.beta.)-",,No SMILES
"1,3-dioxane, 2,4,5,6-tetramethyl-, (2.alpha.,4.alpha.,5.beta.,6.beta.)-",,No SMILES
"1,3-dioxane, 2-ethyl-2,4-dimethyl-, cis-",,No SMILES
"1,3-dioxane, 2-ethyl-2,4-dimethyl-, trans-",,No SMILES
"2,3-dimethylphenyl radical",,No SMILES
"2,4-dimethylphenyl radical",,No SMILES
"2,5-dimethylphenyl radical",,No SMILES
2-ethylphenyl,,No SMILES
"3,4-dimethylphenyl radical",,No SMILES
3-ethylphenyl,,No SMILES
"3,5-dimethylphenyl",,No SMILES
4-ethylphenyl,,No SMILES
"methyl-1,3,5,7-cyclooctatetraene",,No SMILES
"2,5-dimethylphenyl radical",,No SMILES
"2,4-dimethylphenyl radical",,No SMILES
(E)-(2-methoxy-1-ethylene)benzene,,No SMILES
4-ethylphenyl,,No SMILES
(E)-1-phenoxy-1-propene,,No SMILES
bicyclo[2.2.1]-5-hepten-2-yl acetate,,No SMILES
"2,2,4,6-tetramethyl-.alpha.-pyran",,No SMILES
"2,4,5-nonatrien-7-ol",,No SMILES
"2-(1-methylethoxy)-1,3-cyclohexadiene",,No SMILES
"1,2,3,3-tetramethyl-1-cyclopenten-5-one",,No SMILES
"2,2,4,6-tetramethyl-.alpha.-pyran",,No SMILES
"2,4,5-nonatrien-7-ol",,No SMILES
2-methylbicyclo[2.2.2]-5-octene,,No SMILES
1-cyclohexenylmethyl ethanoate,,No SMILES
"2-cyclohexene-1-carboxylic acid, 2-methyl-, methyl ester",,No SMILES
2-methylenecyclohexyl ethanoate,,No SMILES
methyl 3-octynoate,,No SMILES
"1-cyclopentene-1-carboxylic acid, 2-methoxy-, ethyl ester",,No SMILES
"1-cyclopentene-1-carboxylic acid, 2-methoxy-3-methyl-, methyl ester",,No SMILES
"cis-1,3-cyclobutanedicarboxylic acid ethyl methyl diester",,No SMILES
"trans-1,3-cyclobutanedicarboxylic acid, ethyl methyl diester",,No SMILES
"(E,E)-1-bis(1-propenoxy)-1-methoxyethane",,No SMILES
4-keto-7-methyloctanoic acid,,No SMILES
"(E,Z)-1-bis(1-propenoxy)-1-methoxyethane",,No SMILES
2-methyl-4-octen-3-one,,No SMILES
"(Z,Z)-1-bis(1-propenoxy)-1-methoxyethane",,No SMILES
"1,1-bis(hydroxymethyl)-2-methylcyclohexene",,No SMILES
"3-hydroxy-2-propyl-2-butenoic acid, ethyl ester",,No SMILES
"3-oxo-2-propylbutanoic acid, ethyl ester",,No SMILES
"(R*,R*)-(.+-.)-3,5-dimethylheptanedioic acid",,No SMILES
"cis-2-(1-methylethyl)-5-(1-oxoethyl)-1,3-dioxane",,No SMILES
ethyl 3-hydroxy-2-(1-methylethyl)-2-butenoate,,No SMILES
2-[2-(2-vinyloxyethoxy)ethoxy)ethyl vinyl ether,,No SMILES
"propionic acid, 4-methyl-2-pentanone-4-ol ester",,No SMILES
"trans-2-(1-methylethyl)-5-(1-oxoethyl)-1,3-dioxane",,No SMILES
"1,2-pentadiyl diacetate",,No SMILES
"2,3-butanediol, 3-methyl-, diacetate",,No SMILES
butanedioic acid tert-butyl methyl ester,,No SMILES
3-methylpentyl 1-propenoate,,No SMILES
"(1.alpha.,2.beta.,3.beta.,4.alpha.)-(.+-.)-1,2,3,4-tetramethylcyclopentane,",,No SMILES
butanedioic acid tert-butyl methyl ester,,No SMILES
(E)-2-(1-ethylpropoxy)-2-butene,,No SMILES
(Z)-2-(1-ethylpropoxy)-2-butene,,No SMILES
.alpha.-propylcyclopentanemethanol,,No SMILES
"1-butene, 2-(2,2-dimethylpropoxy)-",,No SMILES
(E)-1-methoxy-2-(1-ethylpropoxy)propene,,No SMILES
(Z)-1-methoxy-2-(1-ethylpropoxy)propene,,No SMILES
"1,1-dimethylethyl 2-methylbutanoate",,No SMILES
"1,2-dimethylpropyl 2-methylpropanoate",,No SMILES
"1,3-dioxane, 2-(1,1-dimethylethyl)-4-methyl-, trans-",,No SMILES
"trans-2-methanol-2-methyl-5-(1-methylethyl)-1,3-dioxane",,No SMILES
"2,(3RS,4SR)-trimethylhexane",,No SMILES
"1-methyl-2-propyl-1,5-pentanediol",,No SMILES
"2,2-diisopropyl-1,3-propanediol",,No SMILES
dipropyleneglycol isopropyl ether,,No SMILES
"1-[(1,1-dimethylethyl)dioxy]-3-ethoxy-2-propanol",,No SMILES
tripropylene glycol,,No SMILES
1-phenoxypropadiene,,No SMILES
1-phenoxy-1-propyne,,No SMILES
dipropylene glycol monopropyl ether,,No SMILES
"5-oxoethyl-1,3-benzodioxole",,No SMILES
2-benzoylethanoic-acid,,No SMILES
1-phenoxy-1-propyne,,No SMILES
3-benzyl-3-hydroxy-2-propenoic acid,,No SMILES
"3,8-dioxatetracyclo[4.2.1.12,5.19,11]undecane-4,7-dione",,No SMILES
methylidene radical,,No SMILES
borneol methanoate,CC1(C)C2CCC1(C)C(O)C2.O=CO,"Disconnected (contains ""."")"
"1,4-benzenediol dipropanoate",CCC(=O)O.CCC(=O)O.Oc1ccc(O)cc1,"Disconnected (contains ""."")"
"3,5-dihydroxytoluene, monohydrate",Cc1cc(O)cc(O)c1.O,"Disconnected (contains ""."")"
"hexanedioic acid, butyl ester",CCCCOC(=O)CCCCC(=O)[O-],Charged species
Monoheptyl adipate,CCCCCCCOC(=O)CCCCC(=O)[O-],Charged species
1-methyl-2-(phenylmethyl)benzene,Cc1ccccc1[CH-]c1ccccc1,Charged species
"1,4-dimethyl-2-(phenylmethyl)benzene",Cc1ccc(C)c([CH-]c2ccccc2)c1,Charged species
"glutaric acid, decyl ester",CCCCCCCCCCOC(=O)CCCC(=O)[O-],Charged species
methyl orthocarbonate,COC([O-])([O-])[O-],Charged species
"pentanedioic acid, ethyl ester",CCOC(=O)CCCC(=O)[O-],Charged species
"cis-5-carboxylato-2-(1-methylethyl)-1,3-dioxane",CC(C)[C@H]1OC[C@@H](C(=O)[O-])CO1,Charged species
graphite,[C],Radicals
5-phenyltetradecyl,[CH2]CCCC(CCCCCCCCC)c1ccccc1,Radicals
ethenylidene,[C]=C,Radicals
propargyl radical,[CH]=C=C,Radicals
1-propynyl,[C]#CC,Radicals
"1,3-butadiynyl",[C]#CC#C,Radicals
"1,1-dimethylethyl radical",C[C](C)C,Radicals
1-methylpropyl radical,C[CH]CC,Radicals
2-methylpropyl radical,[CH2]C(C)C,Radicals
butyl radical,[CH2]CCC,Radicals
"carbon, pentaatomic",[C+]#C[C]C#[C-],Radicals
"2,2-dimethylpropyl radical",[CH2]C(C)(C)C,Radicals
pentyl,CC[CH]CC,Radicals
phenyl,[c]1ccccc1,Radicals
benzyl,[CH2]c1ccccc1,Radicals
2-methylphenyl radical,Cc1[c]cccc1,Radicals
"1,3,5,7-octatetraynyl",[C]#CC#CC#CC#C,Radicals
(2-methylphenyl)methyl,[CH2]c1ccccc1C,Radicals
(4-methylphenyl)methyl,[CH2]c1ccc(C)cc1,Radicals
1-phenylethyl radical,C[CH]c1ccccc1,Radicals
"2,6-dimethylphenyl",Cc1[c]c(C)ccc1,Radicals
2-phenylethyl,[CH2]Cc1ccccc1,Radicals
(3-methylphenyl)methyl,[CH2]c1cccc(C)c1,Radicals
methylene,[CH2],Radicals
"methylene radical (singlet, A1A1)",[CH2],Radicals
"methylene radical (triplet, X3B)",[CH2],Radicals
diamond,C,MW < 50
"carbon, diatomic",[C+]#[C-],MW < 50
ethene,C=C,MW < 50
ethanal,CC=O,MW < 50
oxirane,C1CO1,MW < 50
ethenol,C=CO,MW < 50
ethyne,C#C,MW < 50
dimethyl ether,COC,MW < 50
ethane,[2H]C([2H])C([2H])([2H])[2H],MW < 50
ethenone,C=C=O,MW < 50
ethyne,C#C,MW < 50
ethanol,[2H]OC([2H])([2H])C([2H])([2H])[2H],MW < 50
1-propyne,C#CC,MW < 50
"1,2-propadiene",C=C=C,MW < 50
cyclopropene,C1=CC1,MW < 50
cyclopropane,C1CC1,MW < 50
propene,C=CC,MW < 50
"carbon, triatomic",C=C=C,MW < 50
2-propynylidyne,[CH+]=C=[CH-],MW < 50
propadienylidene,[C-]#C[CH2+],MW < 50
2-propynylidyne,[CH+]=C=[CH-],MW < 50
propane,CCC,MW < 50
methane,C,MW < 50
methanol,[2H]OC([2H])([2H])[2H],MW < 50
methyl hydroperoxide,COO,MW < 50
methanal,C=O,MW < 50
carbon monoxide,[C-]#[O+],MW < 50
carbon dioxide,O=C=O,MW < 50
methanoic acid,O=CO,MW < 50
5-methylindene,Cc1ccc2c(c1)C=CC2,kv_40C > 200 cSt
3-hydroxy-3-(4-methoxybenzyl)-2-propenoic-acid,COc1ccc(CC(O)=CC(=O)O)cc1,kv_40C > 200 cSt
"cinnamic acid, 4-hydroxy-3-methoxy-, (E)-",COc1cc(C=CC(=O)O)ccc1O,kv_40C > 200 cSt
3-hydroxy-3-(4-methylbenzyl)-2-propenoic acid,Cc1ccc(CC(O)=CC(=O)O)cc1,kv_40C > 200 cSt
1-phenylethyl propionate,CCC(=O)OC(C)c1ccccc1,kv_40C > 200 cSt
"2-methyl-3,5-decadiyn-2-ol",CCCCC#CC#CC(C)(C)O,kv_40C > 200 cSt
"4,4'-dihydroxybenzophenone",O=C(c1ccc(O)cc1)c1ccc(O)cc1,kv_40C > 200 cSt
"methanone, (2,4-dihydroxyphenyl)phenyl-",O=C(c1ccccc1)c1ccc(O)cc1O,kv_40C > 200 cSt
"2,3,4-trihydroxybenzophenone",O=C(c1ccccc1)c1ccc(O)c(O)c1O,kv_40C > 200 cSt
2-hydroxy-4-methoxybenzophenone,COc1ccc(C(=O)c2ccccc2)c(O)c1,kv_40C > 200 cSt
p-(hydroperoxydimethylmethyl)(methylperoxytert-butyl)benzene,COOCC(C)(C)c1ccc(C(C)(C)OO)cc1,kv_40C > 200 cSt
"6,7-diethyl-3-methyl-6-nonene-3,4-diol",CCC(CC)=C(CC)CC(O)C(C)(O)CC,kv_40C > 200 cSt
"anthraquinone, 1,2-dihydroxy-",O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,kv_40C > 200 cSt
"1,3-Diphenyl-2-hydroxy-1-propen-3-one",O=C(/C(O)=C/c1ccccc1)c1ccccc1,kv_40C > 200 cSt
"1,6-dimethyl-4-(1-methylethyl)-1,2,3,4-tetrahydronaphthalene",Cc1ccc2c(c1)[C@@H](C(C)C)CC[C@H]2C,kv_40C > 200 cSt
4-methyl-1-tetradecanol,CCCCCCCCCCC(C)CCCO,kv_40C > 200 cSt
"2,2-bis(4-methylpentyl)-1,3-propanediol",CC(C)CCCC(CO)(CO)CCCC(C)C,kv_40C > 200 cSt
"2,2-dihexyl-1,3-propanediol",CCCCCCC(CO)(CO)CCCCCC,kv_40C > 200 cSt
3-[4-(benzoyloxy)phenyl]-2-propenoic acid,O=C(O)/C=C/c1ccc(OC(=O)c2ccccc2)cc1,kv_40C > 200 cSt
"Racemic-2,3-diphenylbutanedioic acid",O=C(O)C(c1ccccc1)C(C(=O)O)c1ccccc1,kv_40C > 200 cSt
"meso-2,3-diphenylsuccinic acid",O=C(O)C(c1ccccc1)C(C(=O)O)c1ccccc1,kv_40C > 200 cSt
2-(4-ethylbenzoyl)benzoic acid,CCc1ccc(C(=O)c2ccccc2C(=O)O)cc1,kv_40C > 200 cSt
ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,kv_40C > 200 cSt
